FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
0,5000900,Census Tract 9,"Census Tract 9, Richmond County, New York",36085000900,140,0,36,85,19,,900,2112,2112,23590.33,0.089528214,0.08952821,0.08952821,0,2112,1035,1077,2112,1035,77,90,83,48,108,142,159,148,117,40,19,4,1077,61,71,82,48,109,177,166,147,129,47,35,5,2112,1035,77,167,250,298,406,548,707,855,972,1012,1031,1077,61,132,214,262,371,548,714,861,990,1037,1072,2112,1035,958,868,785,737,629,487,328,180,63,23,4,1077,1016,945,863,815,706,529,363,216,87,40,5,2112,1035,298,250,424,63,1077,262,286,442,87,2112,138,161,165,96,217,319,325,295,246,87,54,9,2112,138,299,464,560,777,1096,1421,1716,1962,2049,2103,2112,1974,1813,1648,1552,1335,1016,691,396,150,63,9,2112,560,536,866,150,2112,138,161,165,96,65,44,25,83,148,171,169,156,153,142,131,60,55,28,31,28,29,25,9,2112,138,299,464,560,625,669,694,777,925,1096,1265,1421,1574,1716,1847,1907,1962,1990,2021,2049,2078,2103,2112,1974,1813,1648,1552,1487,1443,1418,1335,1187,1016,847,691,538,396,265,205,150,122,91,63,34,9,1035,298,250,424,63,1077,262,286,442,87,746,50,37,27,22,19,10,12,34,56,62,67,63,51,57,59,32,23,13,12,10,12,11,7,746,50
1,5012500,Census Tract 125,"Census Tract 125, Richmond County, New York",36085012500,140,0,36,85,19,,12500,2939,2939,16629.33,0.176735954,0.176736,0.176736,0,2939,1496,1443,2939,1496,127,126,120,80,155,211,171,249,147,63,38,9,1443,95,113,100,56,138,191,193,237,163,83,58,16,2939,1496,127,253,373,453,608,819,990,1239,1386,1449,1487,1443,95,208,308,364,502,693,886,1123,1286,1369,1427,2939,1496,1369,1243,1123,1043,888,677,506,257,110,47,9,1443,1348,1235,1135,1079,941,750,557,320,157,74,16,2939,1496,453,366,567,110,1443,364,329,593,157,2939,222,239,220,136,293,402,364,486,310,146,96,25,2939,222,461,681,817,1110,1512,1876,2362,2672,2818,2914,2939,2717,2478,2258,2122,1829,1427,1063,577,267,121,25,2939,817,695,1160,267,2939,222,239,220,136,81,41,45,126,190,212,183,181,267,219,177,67,66,36,48,62,42,54,25,2939,222,461,681,817,898,939,984,1110,1300,1512,1695,1876,2143,2362,2539,2606,2672,2708,2756,2818,2860,2914,2939,2717,2478,2258,2122,2041,2000,1955,1829,1639,1427,1244,1063,796,577,400,333,267,231,183,121,79,25,1496,453,366,567,110,1443,364,329,593,157,1522,89,112,100,61,38,13,20,51,89,85,93,90,160,128,102,50,50,28,33,36,32,42,20,1522,89
2,5013301,Census Tract 133.01,"Census Tract 133.01, Richmond County, New York",36085013301,140,0,36,85,19,,13301,1633,1633,62810.2,0.025998962,0.02599896,0.02599896,0,1633,669,964,1633,669,68,71,94,66,120,74,48,38,41,30,17,2,964,57,87,79,60,122,117,125,120,78,73,27,19,1633,669,68,139,233,299,419,493,541,579,620,650,667,964,57,144,223,283,405,522,647,767,845,918,945,1633,669,601,530,436,370,250,176,128,90,49,19,2,964,907,820,741,681,559,442,317,197,119,46,19,1633,669,299,194,127,49,964,283,239,323,119,1633,125,158,173,126,242,191,173,158,119,103,44,21,1633,125,283,456,582,824,1015,1188,1346,1465,1568,1612,1633,1508,1350,1177,1051,809,618,445,287,168,65,21,1633,582,433,450,168,1633,125,158,173,126,89,38,36,79,93,98,76,97,96,62,62,21,36,24,30,49,20,24,21,1633,125,283,456,582,671,709,745,824,917,1015,1091,1188,1284,1346,1408,1429,1465,1489,1519,1568,1588,1612,1633,1508,1350,1177,1051,962,924,888,809,716,618,542,445,349,287,225,204,168,144,114,65,45,21,669,299,194,127,49,964,283,239,323,119,303,24,19,27,17,12,9,6,23,13,15,18,24,22,10,17,0,11,6,3,15,4,4,4,303,24
3,5019700,Census Tract 197,"Census Tract 197, Richmond County, New York",36085019700,140,0,36,85,19,,19700,1867,1867,16109.98,0.115890884,0.1158909,0.1158909,0,1867,903,964,1867,903,55,50,54,37,87,85,144,164,110,71,33,13,964,58,59,57,27,67,105,136,177,129,77,48,24,1867,903,55,105,159,196,283,368,512,676,786,857,890,964,58,117,174,201,268,373,509,686,815,892,940,1867,903,848,798,744,707,620,535,391,227,117,46,13,964,906,847,790,763,696,591,455,278,149,72,24,1867,903,196,172,418,117,964,201,172,442,149,1867,113,109,111,64,154,190,280,341,239,148,81,37,1867,113,222,333,397,551,741,1021,1362,1601,1749,1830,1867,1754,1645,1534,1470,1316,1126,846,505,266,118,37,1867,397,344,860,266,1867,113,109,111,64,49,16,22,67,83,107,140,140,155,186,129,48,62,41,51,56,34,47,37,1867,113,222,333,397,446,462,484,551,634,741,881,1021,1176,1362,1491,1539,1601,1642,1693,1749,1783,1830,1867,1754,1645,1534,1470,1421,1405,1383,1316,1233,1126,986,846,691,505,376,328,266,225,174,118,84,37,903,196,172,418,117,964,201,172,442,149,1672,97,86,97,59,46,16,19,59,73,91,115,122,138,173,125,48,56,36,50,54,32,44,36,1672,97
4,5002002,Census Tract 20.02,"Census Tract 20.02, Richmond County, New York",36085002002,140,0,36,85,19,,2002,3258,3258,10606.82,0.307160883,0.3071609,0.3071609,0,3258,1549,1709,3258,1549,73,88,87,60,116,211,214,249,246,131,62,12,1709,70,75,100,60,125,199,222,284,262,151,102,59,3258,1549,73,161,248,308,424,635,849,1098,1344,1475,1537,1709,70,145,245,305,430,629,851,1135,1397,1548,1650,3258,1549,1476,1388,1301,1241,1125,914,700,451,205,74,12,1709,1639,1564,1464,1404,1279,1080,858,574,312,161,59,3258,1549,308,327,709,205,1709,305,324,768,312,3258,143,163,187,120,241,410,436,533,508,282,164,71,3258,143,306,493,613,854,1264,1700,2233,2741,3023,3187,3258,3115,2952,2765,2645,2404,1994,1558,1025,517,235,71,3258,613,651,1477,517,3258,143,163,187,120,67,39,33,102,230,180,196,240,249,284,263,90,155,61,92,129,94,70,71,3258,143,306,493,613,680,719,752,854,1084,1264,1460,1700,1949,2233,2496,2586,2741,2802,2894,3023,3117,3187,3258,3115,2952,2765,2645,2578,2539,2506,2404,2174,1994,1798,1558,1309,1025,762,672,517,456,364,235,141,71,1549,308,327,709,205,1709,305,324,768,312,2562,104,121,145,87,55,30,20,79,166,137,148,183,197,231,211,73,126,53,73,114,83,63,63,2562,104
5,5006400,Census Tract 64,"Census Tract 64, Richmond County, New York",36085006400,140,0,36,85,19,,6400,3550,3550,12958.99,0.273941038,0.273941,0.273941,0,3550,1667,1883,3550,1667,98,117,133,83,204,198,183,269,197,99,71,15,1883,94,86,124,80,191,219,229,321,246,140,107,46,3550,1667,98,215,348,431,635,833,1016,1285,1482,1581,1652,1883,94,180,304,384,575,794,1023,1344,1590,1730,1837,3550,1667,1569,1452,1319,1236,1032,834,651,382,185,86,15,1883,1789,1703,1579,1499,1308,1089,860,539,293,153,46,3550,1667,431,402,649,185,1883,384,410,796,293,3550,192,203,257,163,395,417,412,590,443,239,178,61,3550,192,395,652,815,1210,1627,2039,2629,3072,3311,3489,3550,3358,3155,2898,2735,2340,1923,1511,921,478,239,61,3550,815,812,1445,478,3550,192,203,257,163,125,62,62,146,197,220,171,241,285,305,245,90,108,57,83,99,91,87,61,3550,192,395,652,815,940,1002,1064,1210,1407,1627,1798,2039,2324,2629,2874,2964,3072,3129,3212,3311,3402,3489,3550,3358,3155,2898,2735,2610,2548,2486,2340,2143,1923,1752,1511,1226,921,676,586,478,421,338,239,148,61,1667,431,402,649,185,1883,384,410,796,293,2457,113,120,145,97,61,42,36,83,133,150,125,161,206,229,187,75,83,47,73,85,74,73,59,2457,113
6,5007400,Census Tract 74,"Census Tract 74, Richmond County, New York",36085007400,140,0,36,85,19,,7400,4693,4693,18424.01,0.25472203,0.3789041,0.254722,0.124182,4693,2286,2407,4693,2286,165,142,142,84,216,330,348,328,294,132,88,17,2407,144,168,117,83,233,325,334,379,309,169,94,52,4693,2286,165,307,449,533,749,1079,1427,1755,2049,2181,2269,2407,144,312,429,512,745,1070,1404,1783,2092,2261,2355,4693,2286,2121,1979,1837,1753,1537,1207,859,531,237,105,17,2407,2263,2095,1978,1895,1662,1337,1003,624,315,146,52,4693,2286,533,546,970,237,2407,512,558,1022,315,4693,309,310,259,167,449,655,682,707,603,301,182,69,4693,309,619,878,1045,1494,2149,2831,3538,4141,4442,4624,4693,4384,4074,3815,3648,3199,2544,1862,1155,552,251,69,4693,1045,1104,1992,552,4693,309,310,259,167,131,65,69,184,329,326,371,311,345,362,305,107,191,77,81,143,96,86,69,4693,309,619,878,1045,1176,1241,1310,1494,1823,2149,2520,2831,3176,3538,3843,3950,4141,4218,4299,4442,4538,4624,4693,4384,4074,3815,3648,3517,3452,3383,3199,2870,2544,2173,1862,1517,1155,850,743,552,475,394,251,155,69,2286,533,546,970,237,2407,512,558,1022,315,3481,202,198,173,117,96,43,50,128,219,227,268,229,282,286,246,91,157,60,68,115,87,77,62,3481,202
7,5018701,Census Tract 187.01,"Census Tract 187.01, Richmond County, New York",36085018701,140,0,36,85,19,,18701,1807,1807,12255.96,0.147438521,0.1474385,0.1474385,0,1807,879,928,1807,879,46,44,55,48,79,137,108,147,115,60,31,9,928,46,54,60,42,71,108,129,156,139,68,40,15,1807,879,46,90,145,193,272,409,517,664,779,839,870,928,46,100,160,202,273,381,510,666,805,873,913,1807,879,833,789,734,686,607,470,362,215,100,40,9,928,882,828,768,726,655,547,418,262,123,55,15,1807,879,193,216,370,100,928,202,179,424,123,1807,92,98,115,90,150,245,237,303,254,128,71,24,1807,92,190,305,395,545,790,1027,1330,1584,1712,1783,1807,1715,1617,1502,1412,1262,1017,780,477,223,95,24,1807,395,395,794,223,1807,92,98,115,90,45,23,28,54,127,118,108,129,147,156,137,51,66,35,46,47,37,34,24,1807,92,190,305,395,440,463,491,545,672,790,898,1027,1174,1330,1467,1518,1584,1619,1665,1712,1749,1783,1807,1715,1617,1502,1412,1367,1344,1316,1262,1135,1017,909,780,633,477,340,289,223,188,142,95,58,24,879,193,216,370,100,928,202,179,424,123,1358,65,73,85,57,28,20,19,38,87,80,75,97,116,128,111,38,53,28,38,37,32,32,21,1358,65
8,1002202,Census Tract 22.02,"Census Tract 22.02, New York County, New York",36061002202,140,0,36,61,21,,2202,2189,2189,101078.3,0.021656471,0.02165647,0.02165647,0,2189,1125,1064,2189,1125,28,28,29,10,128,363,205,180,75,54,22,3,1064,31,28,16,9,182,327,182,131,72,50,33,3,2189,1125,28,56,85,95,223,586,791,971,1046,1100,1122,1064,31,59,75,84,266,593,775,906,978,1028,1061,2189,1125,1097,1069,1040,1030,902,539,334,154,79,25,3,1064,1033,1005,989,980,798,471,289,158,86,36,3,2189,1125,95,491,460,79,1064,84,509,385,86,2189,59,56,45,19,310,690,387,311,147,104,55,6,2189,59,115,160,179,489,1179,1566,1877,2024,2128,2183,2189,2130,2074,2029,2010,1700,1010,623,312,165,61,6,2189,179,1000,845,165,2189,59,56,45,19,34,39,51,186,393,297,208,179,174,137,92,24,31,27,36,41,34,21,6,2189,59,115,160,179,213,252,303,489,882,1179,1387,1566,1740,1877,1969,1993,2024,2051,2087,2128,2162,2183,2189,2130,2074,2029,2010,1976,1937,1886,1700,1307,1010,802,623,449,312,220,196,165,138,102,61,27,6,1125,95,491,460,79,1064,84,509,385,86,1330,27,21,20,8,22,22,29,140,298,214,138,100,89,79,52,14,17,13,11,10,4,2,0,1330,27
9,1003200,Census Tract 32,"Census Tract 32, New York County, New York",36061003200,140,0,36,61,21,,3200,8234,8234,97968.42,0.084047494,0.0840475,0.0840475,0,8234,3870,4364,8234,3870,97,80,63,42,441,1054,604,524,479,225,175,86,4364,81,64,75,41,687,1216,509,466,435,291,257,242,8234,3870,97,177,240,282,723,1777,2381,2905,3384,3609,3784,4364,81,145,220,261,948,2164,2673,3139,3574,3865,4122,8234,3870,3773,3693,3630,3588,3147,2093,1489,965,486,261,86,4364,4283,4219,4144,4103,3416,2200,1691,1225,790,499,242,8234,3870,282,1495,1607,486,4364,261,1903,1410,790,8234,178,144,138,83,1128,2270,1113,990,914,516,432,328,8234,178,322,460,543,1671,3941,5054,6044,6958,7474,7906,8234,8056,7912,7774,7691,6563,4293,3180,2190,1276,760,328,8234,543,3398,3017,1276,8234,178,144,138,83,87,148,184,709,1364,906,627,486,525,465,518,177,219,126,153,237,225,207,328,8234,178,322,460,543,630,778,962,1671,3035,3941,4568,5054,5579,6044,6562,6739,6958,7084,7237,7474,7699,7906,8234,8056,7912,7774,7691,7604,7456,7272,6563,5199,4293,3666,3180,2655,2190,1672,1495,1276,1150,997,760,535,328,3870,282,1495,1607,486,4364,261,1903,1410,790,6217,113,93,66,45,59,108,137,581,1067,682,470,369,396,363,403,121,163,103,112,177,159,169,261,6217,113
